specimen,session,clip,anchor,status,reason,valid_coverage_pct,stereo_zivid_offset_ms,max_interp_gap_ms,photometric_rgb_mae,disp_min,disp_max
specimen_1,2025_03_06-17_10_48,Clip_1,end,usable_with_warning,interp_gap>500ms,23.328,6.786346435546875,529.2799472808838,29.110626085710702,25.969911575317383,43.87370300292969
specimen_1,2025_03_06-17_33_33,Clip_1,start,valid,,22.741,23.584842681884766,22.954940795898438,26.036051675599214,28.799142837524414,46.68181228637695
specimen_1,2025_03_06-17_33_33,Clip_1,end,usable_with_warning,interp_gap>500ms,22.089,13.161182403564453,500.0452995300293,28.575035460992908,28.494712829589844,45.12239456176758
specimen_1,2025_03_06-17_35_04,Clip_1,start,valid,,23.084,3.0624866485595703,19.5767879486084,25.30623385319814,28.77408218383789,56.5505485534668
specimen_1,2025_03_06-17_36_19,Clip_1,start,valid,,22.269,1.1284351348876953,19.008636474609375,22.638120497523637,28.495698928833008,46.02428436279297
specimen_1,2025_03_06-17_36_19,Clip_1,end,valid,,20.435,18.95618438720703,20.83110809326172,24.26646734130635,28.647991180419922,47.59436798095703
specimen_1,2025_03_06-17_36_19,Clip_2,start,valid,,20.435,18.95618438720703,20.83110809326172,24.26646734130635,28.647991180419922,47.59436798095703
specimen_1,2025_03_06-17_36_19,Clip_2,end,valid,,20.462,20.899057388305664,29.923439025878906,23.453337416580535,28.427417755126953,46.16682815551758
specimen_1,2025_03_06-17_36_19,Clip_3,start,valid,,20.462,20.899057388305664,29.923439025878906,23.453337416580535,28.427417755126953,46.16682815551758
specimen_1,2025_03_06-17_36_19,Clip_3,end,valid,,20.915,25.8638858795166,20.830869674682617,23.146126553960087,28.360010147094727,45.53400802612305
specimen_1,2025_03_06-17_36_19,Clip_4,start,valid,,20.915,25.8638858795166,20.830869674682617,23.146126553960087,28.360010147094727,45.53400802612305
specimen_1,2025_03_06-17_38_21,Clip_1,start,valid,,30.362,14.043331146240234,18.988370895385742,43.82987970788658,27.82529067993164,54.66610336303711
specimen_1,2025_03_06-17_38_21,Clip_1,end,usable_with_warning,interp_gap>500ms,30.052,9.42850112915039,645.9558010101318,39.54754147356934,27.830839157104492,42.39032745361328
specimen_1,2025_03_06-17_38_21,Clip_2,start,usable_with_warning,interp_gap>500ms,30.052,9.42850112915039,645.9558010101318,39.54754147356934,27.830839157104492,42.39032745361328
specimen_1,2025_03_06-17_38_21,Clip_2,end,usable_with_warning,interp_gap>500ms,30.899,18.587589263916016,1129.546880722046,37.98257070668661,27.80120277404785,41.81531524658203
specimen_1,2025_03_06-17_38_21,Clip_3,start,usable_with_warning,interp_gap>500ms,30.899,18.587589263916016,1129.546880722046,37.98257070668661,27.80120277404785,41.81531524658203
specimen_1,2025_03_06-17_38_21,Clip_3,end,valid,,31.055,10.665655136108398,133.21518898010254,37.33487701031136,27.846393585205078,41.92991256713867
specimen_1,2025_03_06-17_38_21,Clip_4,start,valid,,31.055,10.665655136108398,133.21518898010254,37.33487701031136,27.846393585205078,41.92991256713867
specimen_1,2025_03_06-17_38_21,Clip_4,end,valid,,31.317,2.438068389892578,370.3608512878418,35.933929292019755,27.87228775024414,41.36272430419922
specimen_1,2025_03_06-17_38_21,Clip_5,start,valid,,31.317,2.438068389892578,370.3608512878418,35.933929292019755,27.87228775024414,41.36272430419922
specimen_1,2025_03_06-17_38_21,Clip_5,end,usable_with_warning,interp_gap>500ms,31.924,20.300626754760742,652.3120403289795,34.71074219293123,27.572265625,40.85026168823242
specimen_1,2025_03_06-17_39_51,Clip_1,start,valid,,29.111,22.72653579711914,19.003629684448242,41.540353785135,27.82328987121582,43.59626007080078
specimen_1,2025_03_06-17_39_51,Clip_1,end,valid,,29.85,23.817062377929688,18.939971923828125,38.42297121643915,27.825300216674805,42.3828010559082
specimen_1,2025_03_06-17_39_51,Clip_2,start,valid,,29.85,23.817062377929688,18.939971923828125,38.42297121643915,27.825300216674805,42.3828010559082
specimen_1,2025_03_06-17_39_51,Clip_2,end,valid,,28.636,31.70490264892578,278.86199951171875,43.69903020621339,27.80821418762207,44.101470947265625
specimen_1,2025_03_06-17_39_51,Clip_3,start,valid,,28.636,31.70490264892578,278.86199951171875,43.69903020621339,27.80821418762207,44.101470947265625
specimen_1,2025_03_06-17_39_51,Clip_3,end,usable_with_warning,interp_gap>500ms,26.358,29.832839965820312,1247.743844985962,51.691423918405675,27.84038543701172,48.794918060302734
specimen_1,2025_03_06-17_39_51,Clip_4,start,usable_with_warning,interp_gap>500ms,26.358,29.832839965820312,1247.743844985962,51.691423918405675,27.84038543701172,48.794918060302734
specimen_1,2025_03_06-17_39_51,Clip_4,end,valid,,27.539,22.67765998840332,379.3201446533203,54.28306112271001,27.711957931518555,49.15693283081055
specimen_1,2025_03_06-17_39_51,Clip_5,start,valid,,27.539,22.67765998840332,379.3201446533203,54.28306112271001,27.711957931518555,49.15693283081055
