session,clip,anchor,geometry,zivid_stem,depth_exists
2025_03_06-17_46_07,Clip_1,end,pointcloud/1741279584_246885299.ply,1741279584_246885299,True
2025_03_06-17_46_07,Clip_2,start,pointcloud/1741279584_246885299.ply,1741279584_246885299,True
2025_03_06-17_46_07,Clip_2,end,pointcloud/1741279592_461357831.ply,1741279592_461357831,True
2025_03_06-17_46_07,Clip_3,start,pointcloud/1741279592_461357831.ply,1741279592_461357831,True
2025_03_06-17_46_07,Clip_3,end,pointcloud/1741279602_643130779.ply,1741279602_643130779,True
2025_03_06-17_46_07,Clip_4,start,pointcloud/1741279602_643130779.ply,1741279602_643130779,True
2025_03_06-17_46_07,Clip_4,end,pointcloud/1741279610_887822389.ply,1741279610_887822389,True
2025_03_06-17_46_07,Clip_5,start,pointcloud/1741279610_887822389.ply,1741279610_887822389,True
2025_03_06-17_46_07,Clip_5,end,pointcloud/1741279619_655236959.ply,1741279619_655236959,True
2025_03_06-17_50_08,Clip_1,start,pointcloud/1741279814_862919807.ply,1741279814_862919807,True
2025_03_06-17_50_08,Clip_1,end,pointcloud/1741279833_101658105.ply,1741279833_101658105,True
2025_03_06-17_51_03,Clip_1,start,pointcloud/1741279869_227559328.ply,1741279869_227559328,True
2025_03_06-17_51_03,Clip_1,end,pointcloud/1741279879_512899637.ply,1741279879_512899637,True
2025_03_06-17_51_03,Clip_2,start,pointcloud/1741279879_512899637.ply,1741279879_512899637,True
2025_03_06-17_51_03,Clip_2,end,pointcloud/1741279888_267170190.ply,1741279888_267170190,True
2025_03_06-17_51_03,Clip_3,start,pointcloud/1741279888_267170190.ply,1741279888_267170190,True
2025_03_06-17_51_03,Clip_3,end,pointcloud/1741279896_842702388.ply,1741279896_842702388,True
2025_03_06-17_51_03,Clip_4,start,pointcloud/1741279896_842702388.ply,1741279896_842702388,True
2025_03_06-17_51_03,Clip_4,end,pointcloud/1741279907_261804342.ply,1741279907_261804342,True
2025_03_06-17_51_03,Clip_5,start,pointcloud/1741279907_261804342.ply,1741279907_261804342,True
2025_03_06-17_51_03,Clip_5,end,pointcloud/1741279919_164175987.ply,1741279919_164175987,True
