sequence_id,frame_id,frame_index,frame_offset,target_path,target_h,target_w,dataset,specimen,session,clip,anchor_type,quality,convention,split
specimen_1__2025_03_06-17_46_07__Clip_4__end,1741279610_874241590,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_4__end.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_4,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_46_07__Clip_5__start,1741279610_874241590,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_5__start.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_5,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_46_07__Clip_5__end,1741279619_639563798,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_5__end.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_5,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_43_05__Clip_1__start,1741279397_014175891,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_43_05__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_43_05,Clip_1,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_03_37__Clip_1__start,1741277038_994503974,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_03_37__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_03_37,Clip_1,start,valid,,valid
specimen_1__2025_03_06-17_03_37__Clip_1__end,1741277054_444179058,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_03_37__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_03_37,Clip_1,end,valid,,valid
specimen_1__2025_03_06-17_50_08__Clip_1__start,1741279814_889631032,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_50_08__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_50_08,Clip_1,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_50_08__Clip_1__end,1741279833_122301101,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_50_08__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_50_08,Clip_1,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_04_37__Clip_1__start,1741277089_267859220,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_1,start,valid,,valid
specimen_1__2025_03_06-17_04_37__Clip_1__end,1741277102_310320138,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_1,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_04_37__Clip_2__start,1741277102_310320138,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_2__start.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_2,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_04_37__Clip_2__end,1741277116_990405559,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_2__end.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_2,end,valid,,valid
specimen_1__2025_03_06-17_04_37__Clip_3__start,1741277116_990405559,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_3__start.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_3,start,valid,,valid
specimen_1__2025_03_06-17_04_37__Clip_3__end,1741277161_742160797,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_3__end.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_3,end,valid,,valid
specimen_1__2025_03_06-17_04_37__Clip_4__start,1741277161_742160797,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_4__start.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_4,start,valid,,valid
specimen_1__2025_03_06-17_04_37__Clip_4__end,1741277171_752430915,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_4__end.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_4,end,valid,,valid
specimen_1__2025_03_06-17_04_37__Clip_5__start,1741277171_752430915,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_04_37__Clip_5__start.npz,178,224,d4d,specimen_1,2025_03_06-17_04_37,Clip_5,start,valid,,valid
specimen_1__2025_03_06-17_51_03__Clip_1__end,1741279879_525370836,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_1,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_2__start,1741279879_525370836,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_2__start.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_2,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_2__end,1741279888_274587154,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_2__end.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_2,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_3__start,1741279888_274587154,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_3__start.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_3,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_3__end,1741279896_845916986,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_3__end.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_3,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_4__start,1741279896_845916986,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_4__start.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_4,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_4__end,1741279907_282327890,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_4__end.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_4,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_5__start,1741279907_282327890,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_5__start.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_5,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_51_03__Clip_5__end,1741279919_146309852,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_51_03__Clip_5__end.npz,178,224,d4d,specimen_1,2025_03_06-17_51_03,Clip_5,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_39_51__Clip_1__start,1741279197_390876054,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_39_51__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_39_51,Clip_1,start,valid,,valid
specimen_1__2025_03_06-17_39_51__Clip_1__end,1741279208_726855754,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_39_51__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_39_51,Clip_1,end,valid,,valid
specimen_1__2025_03_06-17_39_51__Clip_2__start,1741279208_726855754,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_39_51__Clip_2__start.npz,178,224,d4d,specimen_1,2025_03_06-17_39_51,Clip_2,start,valid,,valid
specimen_1__2025_03_06-17_39_51__Clip_2__end,1741279216_465456247,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_39_51__Clip_2__end.npz,178,224,d4d,specimen_1,2025_03_06-17_39_51,Clip_2,end,valid,,valid
specimen_1__2025_03_06-17_39_51__Clip_3__start,1741279216_465456247,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_39_51__Clip_3__start.npz,178,224,d4d,specimen_1,2025_03_06-17_39_51,Clip_3,start,valid,,valid
specimen_1__2025_03_06-17_39_51__Clip_3__end,1741279225_393536329,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_39_51__Clip_3__end.npz,178,224,d4d,specimen_1,2025_03_06-17_39_51,Clip_3,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_39_51__Clip_4__start,1741279225_393536329,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_39_51__Clip_4__start.npz,178,224,d4d,specimen_1,2025_03_06-17_39_51,Clip_4,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_38_21__Clip_1__start,1741279107_899443149,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_1,start,valid,,valid
specimen_1__2025_03_06-17_38_21__Clip_1__end,1741279119_003957033,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_1,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_38_21__Clip_2__start,1741279119_003957033,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_2__start.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_2,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_38_21__Clip_2__end,1741279127_773593664,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_2__end.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_2,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_38_21__Clip_3__start,1741279127_773593664,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_3__start.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_3,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_38_21__Clip_3__end,1741279136_944712162,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_3__end.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_3,end,valid,,valid
specimen_1__2025_03_06-17_38_21__Clip_4__start,1741279136_944712162,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_4__start.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_4,start,valid,,valid
specimen_1__2025_03_06-17_38_21__Clip_4__end,1741279148_278485298,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_4__end.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_4,end,valid,,valid
specimen_1__2025_03_06-17_38_21__Clip_5__start,1741279148_278485298,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_38_21__Clip_5__start.npz,178,224,d4d,specimen_1,2025_03_06-17_38_21,Clip_5,start,valid,,valid
specimen_2__2025_04_10-16_07_15__Clip_1__start,1744294061_039222002,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_07_15__Clip_1__start.npz,178,224,d4d,specimen_2,2025_04_10-16_07_15,Clip_1,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_07_15__Clip_1__end,1744294083_538976430,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_07_15__Clip_1__end.npz,178,224,d4d,specimen_2,2025_04_10-16_07_15,Clip_1,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_18_24__Clip_1__start,1744294710_339358568,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_18_24__Clip_1__start.npz,178,224,d4d,specimen_2,2025_04_10-16_18_24,Clip_1,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_18_24__Clip_1__end,1744294729_138015747,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_18_24__Clip_1__end.npz,178,224,d4d,specimen_2,2025_04_10-16_18_24,Clip_1,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_13_29__Clip_1__start,1744294416_840066432,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_13_29__Clip_1__start.npz,178,224,d4d,specimen_2,2025_04_10-16_13_29,Clip_1,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_13_29__Clip_1__end,1744294440_072760820,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_13_29__Clip_1__end.npz,178,224,d4d,specimen_2,2025_04_10-16_13_29,Clip_1,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_32_24__Clip_1__start,1744295550_206134319,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_32_24__Clip_1__start.npz,178,224,d4d,specimen_2,2025_04_10-16_32_24,Clip_1,start,valid,direct_ps,valid
specimen_1__2025_03_06-17_33_33__Clip_1__start,1741278820_356170415,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_33_33__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_33_33,Clip_1,start,valid,,valid
specimen_1__2025_03_06-17_33_33__Clip_1__end,1741278834_696634531,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_33_33__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_33_33,Clip_1,end,usable_with_warning,,usable_with_warning
specimen_2__2025_04_10-16_28_15__Clip_1__start,1744295308_437940120,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_28_15__Clip_1__start.npz,178,224,d4d,specimen_2,2025_04_10-16_28_15,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_25_47__Clip_1__start,1746707154_474355459,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_25_47__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_25_47,Clip_1,start,valid,direct_polaris,valid
specimen_2__2025_04_10-16_08_53__Clip_1__start,1744294140_239328861,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_1__start.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_1,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_08_53__Clip_1__end,1744294158_406133651,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_1__end.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_1,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_08_53__Clip_2__start,1744294158_406133651,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_2__start.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_2,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_08_53__Clip_2__end,1744294172_039264440,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_2__end.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_2,end,usable_with_warning,direct_ps,usable_with_warning
specimen_2__2025_04_10-16_08_53__Clip_3__start,1744294172_039264440,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_3__start.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_3,start,usable_with_warning,direct_ps,usable_with_warning
specimen_2__2025_04_10-16_08_53__Clip_3__end,1744294190_338742733,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_3__end.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_3,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_08_53__Clip_4__start,1744294190_338742733,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_4__start.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_4,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_08_53__Clip_4__end,1744294204_338754653,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_4__end.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_4,end,valid,direct_ps,valid
